country,region,hazard_elec_bill,hazard_heat_cool,hazard_bill_struggle,hazard_house_value,hazard_miss_savings,hazard_tax_fines,hazard_power_cuts,composite_score,composite_level,gender,education,activity_status,household_size,location,ethnic_minority,disability,lgbtiqa,political_group,english_proficiency,digital_confidence,citizenship,hh_lives_alone,hh_has_partner,hh_children_under_25,hh_children_25_plus,hh_parent_grandparent,hh_disabled_member,hh_other_relatives,hh_non_relatives,housing_situation,home_type,dwelling_year,rent_arrears,utility_arrears,housing_support,energy_support,energy_improvements,plans_energy_improvements,solar_perception,solar_install_likelihood,can_cover_solar_cost,aware_gov_programmes,issue_poor_insulation,issue_damp_mold,issue_inadequate_heating,issue_high_energy_bills,issue_limited_light,issue_leaking_roof,issue_rotten_frames,home_problems_count,macro_utility_arrears_pct,macro_cold_home_pct,macro_cost_overburden_rate,macro_consumption_expenditure,macro_disposable_income_pps,macro_heating_degree_days,macro_cooling_degree_days,macro_energy_consumption_tj,macro_electricity_consumption,religious_minority,bill_confidence,is_native_born,speaks_national_language,age,age_group,housing_cost_band,income_band,household_type
Germany,Düsseldorf,16,25,1,2,5,1,1,7.285714285714286,2,Man,Primary or Secondary education,"In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",3,Urban,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,EU citizen from another country,0,1,1,0,0,0,0,0,I rent the house where I live in (I pay rent every month),"Apartment or flat with less than 10 dwellings – a home in a building with other homes above, below or next to yours",I don't know,No,No,No,No,Yes,Not applicable,5.0,Not applicable,Yes,Not applicable,1,0,0,0,0,1,1,3,4.6,5.7,11.2,1876818.0,176736.87,1540.0,38.40000000000001,2215295.198,6.9347,No/Non-religious,Very confident — I can understand it easily,No,No,32.0,30-44,2_Medium,7,Couple with children
Germany,Hannover,15,8,12,2,9,4,9,8.428571428571429,2,Woman or Non-binary,Further education or training after school (not university),"In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",2,Suburban,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,0,1,0,0,0,0,0,I rent the house where I live in (I pay rent every month),"Apartment or flat with more than 10 dwellings – a home in a building with other homes above, below or next to yours",2001-2010,No,No,No,No,I don't know,Yes,5.0,Not applicable,Not sure,Not applicable,0,0,0,1,0,0,0,1,4.6,5.7,11.2,1876818.0,71168.44,1758.37,19.02,2215295.198,6.9347,No/Non-religious,Confident — I can understand it with some help,Yes,Yes,48.0,45-59,2_Medium,5,Single parent
Italy,Piedmont,20,25,20,6,9,12,8,14.285714285714286,4,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",2,Urban,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,1,0,0,0,0,0,0,I rent the house where I live in (I pay rent every month),"Apartment or flat with more than 10 dwellings – a home in a building with other homes above, below or next to yours",1981-2000,No,"Yes, twice or more",No,No,No,I don't know,3.0,Somewhat likely,No,Yes,0,1,0,1,0,0,0,2,5.9,8.6,5.0,1257106.0,115962.7,1658.0,142.32,1155020.242,8.7008,No/Non-religious,Confident — I can understand it with some help,Yes,Yes,30.0,30-44,1_Low,3,"Couple, no children"
Spain,Balearic Islands,16,12,12,3,4,2,1,7.142857142857143,1,Man,Primary or Secondary education,"In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",4,Urban,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,1,1,0,0,0,0,0,I own the house or flat where I live and I do not pay a mortgage,"Apartment or flat with less than 10 dwellings – a home in a building with other homes above, below or next to yours",1961-1980,No,No,No,No,No,No,4.0,Somewhat likely,Not sure,Yes,0,0,1,1,0,0,0,2,9.2,15.9,7.2,793600.0,27829.4,379.81,495.48,580422.275,5.6424,No/Non-religious,Confident — I can understand it with some help,Yes,No,54.0,45-59,1_Low,4,Couple with children
Germany,Berlin,25,25,25,3,9,1,1,12.714285714285714,4,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",2,Urban,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,0,0,0,1,0,0,0,I rent the house where I live in (I pay rent every month),"Apartment or flat with more than 10 dwellings – a home in a building with other homes above, below or next to yours",1961-1980,"Yes, twice or more","Yes, once",No,No,No,No,3.0,Unlikely,No,Not sure,1,1,0,0,0,0,1,3,4.6,5.7,11.2,1876818.0,122677.83,1750.33,24.56,2215295.198,6.9347,No/Non-religious,Very confident — I can understand it easily,No,No,39.0,30-44,2_Medium,4,Multi-generational / extended
Italy,Calabria,10,10,9,9,9,6,8,8.714285714285714,2,Woman or Non-binary,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",3,Suburban,Prefer not to say,No,No,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Non-EU citizen,0,1,1,0,0,0,0,0,I rent the house where I live in (I pay rent every month),Detached house – a house that stands alone and is not joined to any other,I don't know,No,No,No,No,No,I don't know,4.0,Somewhat likely,Yes,Not sure,0,1,0,0,0,0,0,1,5.9,8.6,5.0,1257106.0,27449.4,743.0100000000001,396.14,1155020.242,8.7008,No/Non-religious,Confident — I can understand it with some help,No,No,48.0,45-59,1_Low,3,Couple with children
Italy,Campania,25,25,2,9,25,12,4,14.571428571428571,4,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","Attending school, university, or other educational/training programmes",4,Urban,No,No,Yes,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,0,0,0,1,0,0,0,"I live here without paying rent (for example, staying with relatives or friends)","Apartment or flat with less than 10 dwellings – a home in a building with other homes above, below or next to yours",1981-2000,No,No,No,No,No,Yes,4.0,Not applicable,Yes,Not applicable,0,1,0,0,0,0,0,1,5.9,8.6,5.0,1257106.0,91275.5,789.5600000000001,320.4,1155020.242,8.7008,No/Non-religious,Confident — I can understand it with some help,Yes,Yes,22.0,18-29,1_Low,3,Multi-generational / extended
Spain,Castile and León,6,6,4,4,12,9,9,7.142857142857143,1,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)",Unemployed (actively seeking work or available to start work),1,Rural,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,1,0,0,0,0,0,0,0,"I live here without paying rent (for example, staying with relatives or friends)",Semi-detached house – a house joined to one other house,1961-1980,No,No,No,No,Yes,Not applicable,4.0,Not applicable,Yes,Not applicable,0,0,0,0,0,1,0,1,9.2,15.9,7.2,793600.0,982455.0,1049.85,386.85,580422.275,5.6424,No/Non-religious,Very confident — I can understand it easily,Yes,Yes,34.0,30-44,1_Low,1,Lives alone
Germany,Berlin,8,12,6,8,8,4,16,8.857142857142858,2,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",1,Urban,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,Non-EU citizen,1,0,0,0,0,0,0,0,I rent the house where I live in (I pay rent every month),Terraced house – a house that is part of a row of houses joined together,1961-1980,"Yes, once","Yes, twice or more",No,No,No,Yes,3.0,Not applicable,No,Not applicable,0,1,0,1,0,0,1,3,4.6,5.7,11.2,1876818.0,122677.83,1750.33,24.56,2215295.198,6.9347,No/Non-religious,Very confident — I can understand it easily,No,No,31.0,30-44,3_High,4,Lives alone
Portugal,Norte,25,25,25,3,1,1,1,11.571428571428571,4,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",1,Rural,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,1,0,0,0,0,0,0,0,I rent the house where I live in (I pay rent every month),Detached house – a house that stands alone and is not joined to any other,I don't know,"Yes, twice or more",No,No,Yes,Yes,Not applicable,5.0,Not applicable,No,Not applicable,1,1,1,1,0,1,0,5,3.6,15.6,6.3,166851.3,51301.77,1038.89,227.41,128035.143,4.653,No/Non-religious,Very confident — I can understand it easily,Yes,Yes,72.0,60+,2_Medium,1,Lives alone
