country,region,hazard_fuel_repair_cost,hazard_car_resale,hazard_tax_fines,hazard_zez_restriction,hazard_journey_complex,hazard_pollution_exposure,composite_score,composite_level,gender,education,activity_status,household_size,location,ethnic_minority,disability,lgbtiqa,political_group,english_proficiency,digital_confidence,citizenship,hh_lives_alone,hh_has_partner,hh_children_under_25,hh_children_25_plus,hh_parent_grandparent,hh_disabled_member,hh_other_relatives,hh_non_relatives,car_access,newest_car_fuel,planning_purchase,planned_car_type,ev_charging_better,aware_ev_programmes,ev_likelihood,transport_mode,need_car_for_job,travel_distance,travel_frequency,commute_1hr,public_transit_qual,use_more_if_lowemis,macro_modal_split_cars,macro_cant_afford_transport,macro_cars_per_1000,macro_alt_motor_energy,macro_cars_by_age,macro_new_cars_by_motor,macro_hh_expend_transport,macro_fuel_price,macro_road_transport_expend,religious_minority,is_native_born,speaks_national_language,newest_car_year_band,age,age_group,weekly_spend_band,income_band,household_type,ev_perception,num_cars
Spain,Community of Madrid,4,1,4,12,6,4,5.166666666666667,1,Man,Further education or training after school (not university),"In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",2,Urban,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,1,0,0,0,0,0,0,0,Yes,Petrol,I cannot afford a new car in the next 2-3 years,Not applicable,Not applicable,Yes,Unlikely,"Collective public transport (bus, tram, train, metro, ferry etc.)",Not applicable,Between 5km and 15 km,Never I mostly work from home,Yes,Good,No difference,16.1,2.9,544,5,26700972,1067172,13.0,1528.212325,14672504154,No/Non-religious,Yes,Yes,pre-2010,48.0,45-59,2_Medium,4,Lives alone,3,1
Spain,Catalonia,20,9,16,4,8,2,9.833333333333334,2,Man,Primary or Secondary education,"Attending school, university, or other educational/training programmes",4,Suburban,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,0,0,0,1,0,0,0,Yes,Diesel,I am considering to buy a new car in the next 2 -3 years,Diesel,Maybe,Yes,Somewhat likely,"Collective public transport (bus, tram, train, metro, ferry etc.)",Not applicable,More than 15 km,Twice per week,No,Poor,"Yes, definitely",16.1,2.9,544,5,26700972,1067172,13.0,1528.212325,14672504154,No/Non-religious,Yes,No,2010-2019,19.0,18-29,2_Medium,7,Multi-generational / extended,3,3
Italy,Lombardy,16,6,16,9,8,12,11.166666666666666,2,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",3,Suburban,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,1,1,0,0,0,0,0,Yes,Petrol,I am considering to buy a new car in the next 2 -3 years,Electric,Not applicable,Not sure,Very likely,"Car (private, company, leased car or taxi, car share)",Sometimes,More than 15 km,Three or more days per week,No,Poor,No difference,16.7,2.1,701,2590,41340516,1592098,14.7,1789.28,6199893248,No/Non-religious,Yes,Yes,2020+,33.0,30-44,2_Medium,4,Couple with children,4,1
Spain,Galicia,16,15,16,25,12,6,15.0,4,Man,Primary or Secondary education,"Attending school, university, or other educational/training programmes",3,Urban,No,No,Yes,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,0,0,0,1,0,1,0,Yes,Hybrid (fuel and electric),I am considering to buy a new car in the next 2 -3 years,Hybrid (fuel and electric),"Yes, definitely",Yes,Somewhat likely,"Collective public transport (bus, tram, train, metro, ferry etc.)",Not applicable,Between 1 km and 5 km,Three or more days per week,Yes,Average,Possibly,16.1,2.9,544,5,26700972,1067172,13.0,1528.212325,14672504154,No/Non-religious,Yes,Yes,2020+,24.0,18-29,3_High,3,Multi-generational / extended,3,2
Spain,Community of Madrid,6,16,20,20,25,8,15.833333333333334,4,Woman,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",4,Suburban,No,No,No,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,0,0,0,1,0,1,0,Yes,Hybrid (fuel and electric),I cannot afford a new car in the next 2-3 years,Not applicable,Not applicable,Yes,Somewhat unlikely,"Collective public transport (bus, tram, train, metro, ferry etc.)",Not applicable,More than 15 km,Three or more days per week,No,Average,Possibly,16.1,2.9,544,5,26700972,1067172,13.0,1528.212325,14672504154,No/Non-religious,Yes,Yes,2020+,27.0,18-29,2_Medium,3,Multi-generational / extended,4,1
Spain,Community of Madrid,1,1,1,1,1,16,3.5,1,Woman,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",3,Suburban,Yes,No,Yes,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,EU citizen from another country,0,0,0,0,0,0,0,0,No,Not applicable,I am not considering to buy a new car in the next 2 -3 years,Not applicable,Not applicable,Yes,Likely,"Collective public transport (bus, tram, train, metro, ferry etc.)",Not applicable,More than 15 km,Never I mostly work from home,"No, I am working/studying full-time from home and do not commute",Good,No difference,16.1,2.9,544,5,26700972,1067172,13.0,1528.212325,14672504154,No/Non-religious,No,Yes,Not applicable,27.0,18-29,2_Medium,2,Other shared,3,0
Spain,Community of Madrid,12,12,12,16,16,16,14.0,3,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",3,Urban,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,0,0,0,0,0,1,0,Yes,Hybrid (fuel and electric),I am not considering to buy a new car in the next 2 -3 years,Not applicable,Not applicable,Not sure,Likely,"Collective public transport (bus, tram, train, metro, ferry etc.)",Not applicable,More than 15 km,Three or more days per week,No,Average,No difference,16.1,2.9,544,5,26700972,1067172,13.0,1528.212325,14672504154,No/Non-religious,Yes,Yes,2010-2019,33.0,30-44,2_Medium,4,Multi-generational / extended,3,1
Spain,Catalonia,16,6,1,20,16,12,11.833333333333334,3,Man,Primary or Secondary education,"In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",4,Suburban,Yes,No,No,No,Well,Very confident — I can do these tasks easily on my own,EU citizen from another country,0,0,1,0,1,0,0,0,No,Not applicable,I am considering to buy a new car in the next 2 -3 years,Diesel,"Yes, definitely",Yes,Somewhat likely,"Collective public transport (bus, tram, train, metro, ferry etc.)",Not applicable,More than 15 km,Three or more days per week,No,Average,No difference,16.1,2.9,544,5,26700972,1067172,13.0,1528.212325,14672504154,No/Non-religious,No,Yes,Not applicable,24.0,18-29,1_Low,3,Single parent,3,0
Italy,Campania,4,16,16,16,16,16,14.0,3,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","Attending school, university, or other educational/training programmes",4,Urban,Yes,No,No,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Non-EU citizen,1,0,0,0,0,0,0,0,No,Not applicable,I am considering to buy a new car in the next 2 -3 years,Hybrid (fuel and electric),"Yes, definitely",No,Likely,"Collective public transport (bus, tram, train, metro, ferry etc.)",Not applicable,Between 1 km and 5 km,Three or more days per week,Yes,Good,Possibly,16.7,2.1,701,2590,41340516,1592098,14.7,1789.28,6199893248,No/Non-religious,No,No,Not applicable,27.0,18-29,2_Medium,1,Lives alone,4,0
Spain,Catalonia,16,4,15,2,2,2,6.833333333333333,1,Man,"University degree or higher (e.g. Bachelor's, Master's, PhD)","In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",3,Suburban,No,No,No,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Non-EU citizen,0,1,0,0,0,0,0,0,Yes,Petrol,I am not considering to buy a new car in the next 2 -3 years,Not applicable,Not applicable,Yes,Somewhat likely,"Collective public transport (bus, tram, train, metro, ferry etc.)",Not applicable,Between 5km and 15 km,Twice per week,No,Poor,"Yes, definitely",16.1,2.9,544,5,26700972,1067172,13.0,1528.212325,14672504154,No/Non-religious,No,Yes,2010-2019,32.0,30-44,1_Low,4,"Couple, no children",4,1
Spain,Community of Madrid,5,2,2,2,2,6,3.1666666666666665,1,Man,Further education or training after school (not university),"In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",4,Urban,Yes,No,No,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,EU citizen from another country,0,0,0,0,0,0,0,1,No,Not applicable,I am not considering to buy a new car in the next 2 -3 years,Not applicable,Not applicable,Not sure,Very unlikely,"Collective public transport (bus, tram, train, metro, ferry etc.)",Not applicable,Between 5km and 15 km,Three or more days per week,Yes,Very good,No difference,16.1,2.9,544,5,26700972,1067172,13.0,1528.212325,14672504154,No/Non-religious,No,Yes,Not applicable,36.0,30-44,2_Medium,2,Other shared,5,0
Spain,Valencian Community,16,6,12,15,6,12,11.166666666666666,2,Man,Primary or Secondary education,"Attending school, university, or other educational/training programmes",4,Rural,No,No,Yes,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,0,1,0,1,0,0,0,Yes,Petrol,I am not considering to buy a new car in the next 2 -3 years,Not applicable,Not applicable,Yes,Likely,"Collective public transport (bus, tram, train, metro, ferry etc.)",Not applicable,More than 15 km,Three or more days per week,No,Average,Possibly,16.1,2.9,544,5,26700972,1067172,13.0,1528.212325,14672504154,No/Non-religious,Yes,Yes,2020+,22.0,18-29,2_Medium,3,Single parent,4,2
Spain,Galicia,12,1,9,15,16,8,10.166666666666666,2,Man,Further education or training after school (not university),"In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",1,Urban,No,No,No,No,Well,Very confident — I can do these tasks easily on my own,Citizen of this country,1,0,0,0,0,0,0,0,Yes,Diesel,I am not considering to buy a new car in the next 2 -3 years,Not applicable,Not applicable,Yes,Unlikely,"Collective public transport (bus, tram, train, metro, ferry etc.)",Not applicable,Between 1 km and 5 km,Once per week,Yes,Poor,No difference,16.1,2.9,544,5,26700972,1067172,13.0,1528.212325,14672504154,No/Non-religious,Yes,Yes,pre-2010,39.0,30-44,1_Low,3,Lives alone,5,1
Italy,Tuscany,25,16,16,16,16,9,16.333333333333332,4,Man,Primary or Secondary education,"In paid employment or self-employment (including part-time work, temporary absence from work, or helping in a family business)",2,Urban,No,No,No,No,Mother tongue / Very well,Very confident — I can do these tasks easily on my own,Citizen of this country,0,1,0,0,0,0,0,0,Yes,Diesel,I cannot afford a new car in the next 2-3 years,Not applicable,Not applicable,Yes,Somewhat likely,"Car (private, company, leased car or taxi, car share)",Sometimes,Between 5km and 15 km,Three or more days per week,Yes,Good,No difference,16.7,2.1,701,2590,41340516,1592098,14.7,1789.28,6199893248,No/Non-religious,Yes,Yes,2020+,28.0,18-29,2_Medium,4,"Couple, no children",5,1
